problem,family,n,group,algorithm,temperature,temp_str,train_set,seed,edges,n_selected,f1,time,train_sp,test_sp,test1_sp,test2_sp,train_ll,test_ll,test1_ll,test2_ll,train_kl,test_kl,test1_kl,test2_kl,ll_s0,kl_s0,sp_s0,ll_s1,kl_s1,sp_s1,ll_s2,kl_s2,sp_s2
Braid_100,Braid,100,large,sartre,0.1,0.1,0,1,476.0,800.0,0.052173913,20.845674,0.62039805,-0.00482433455,0.0058090609,-0.01545773,-125.59537,-147.300125,-147.20229,-147.39796,24.575038,9.8312405,10.409464,9.253017,-125.59537,24.575038,0.62039805,-147.20229,10.409464,0.0058090609,-147.39796,9.253017,-0.01545773
Braid_100,Braid,100,large,sartre,1.0,1.0,0,1,227.0,800.0,0.036809816,0.72485209,0.3468533,-0.008012591500000001,-0.037633205,0.021608022,-124.87193,-149.239105,-149.14904,-149.32917,15.303821,9.473904350000002,9.4364199,9.5113888,-124.87193,15.303821,0.3468533,-149.14904,9.4364199,-0.037633205,-149.32917,9.5113888,0.021608022
Braid_100,Braid,100,large,sartre,10.0,10,0,1,208.0,800.0,0.03257329,0.64430094,0.092824784,0.007633818549999999,-0.0020712999,0.017338937,-127.19642,-148.220775,-148.07418,-148.36737,9.377161,8.232247300000001,7.5358655,8.9286291,-127.19642,9.377161,0.092824784,-148.07418,7.5358655,-0.0020712999,-148.36737,8.9286291,0.017338937
Braid_100,Braid,100,large,stable_hc,0.1,0.1,0,1,99.0,800.0,0.02020202,85.691626,0.15597403,-0.0038464279000000002,-0.011431336,0.0037384802,-191.45819,-195.465035,-195.39227,-195.5378,60.83336,39.241262500000005,39.662362,38.820163,-191.45819,60.83336,0.15597403,-195.39227,39.662362,-0.011431336,-195.5378,38.820163,0.0037384802
Braid_100,Braid,100,large,stable_hc,1.0,1.0,0,1,0.0,800.0,0.0,0.77587175,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,stable_hc,10.0,10,0,1,0.0,800.0,0.0,0.74788117,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,stable_pc,0.1,0.1,0,1,485.0,800.0,0.017123288,1.1069169,0.5962749,-0.017223340099999998,-0.041817384,0.0073707038,-125.27746,-145.50535000000002,-145.45393,-145.55677,23.350035,9.05743805,7.3006011,10.814275,-125.27746,23.350035,0.5962749,-145.45393,7.3006011,-0.041817384,-145.55677,10.814275,0.0073707038
Braid_100,Braid,100,large,stable_pc,1.0,1.0,0,1,11.0,800.0,0.0,0.35864258,0.11715986,-0.026121320999999996,-0.067254079,0.015011437,-138.27492,-138.8361,-138.82304,-138.84916,0.58953054,0.560015055,0.58619929,0.53383082,-138.27492,0.58953054,0.11715986,-138.82304,0.58619929,-0.067254079,-138.84916,0.53383082,0.015011437
Braid_100,Braid,100,large,stable_pc,10.0,10,0,1,10.0,800.0,0.0,0.34808421,0.088567488,-0.055302192,-0.091740317,-0.018864067,-138.25163,-138.834785,-138.82839,-138.84118,0.57532579,0.5334698449999999,0.56989565,0.49704404,-138.25163,0.57532579,0.088567488,-138.82839,0.56989565,-0.091740317,-138.84118,0.49704404,-0.018864067
Braid_100,Braid,100,large,univ_bn,0.1,0.1,0,1,0.0,800.0,0.0,0.0022523403,0.011161994,0.003267524,0.021815159,-0.015280111,-178.99302,-178.33789000000002,-178.08159,-178.59419,60.833592,24.6208205,17.867886,31.373755,-178.99302,60.833592,0.011161994,-178.08159,17.867886,0.021815159,-178.59419,31.373755,-0.015280111
